Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Rondomedia,1.17,1.13,0.0,0.26,2.58
Russel,0.0,1.12,0.09,0.0,1.21
SCS Software,0.0,0.12,0.0,0.02,0.13
SCi,2.01,1.23,0.0,0.26,3.52
SNK,0.04,0.03,2.48,0.04,2.59
SNK Playmore,0.23,0.14,0.56,0.03,0.96
SPS,0.07,0.04,0.0,0.01,0.12
SSI,0.11,0.07,0.0,0.01,0.19
Sammy Corporation,0.41,0.31,1.91,0.1,2.73
Saurus,0.01,0.01,0.0,0.0,0.02
Scholastic Inc.,2.67,0.03,0.0,0.18,2.91
Screenlife,0.22,0.01,0.66,0.03,0.92
Sears,0.2,0.01,0.0,0.0,0.21
Sega,109.4,82.0,57.03,24.52,272.99
Seta Corporation,0.0,0.0,0.59,0.04,0.63
Seventh Chord,0.0,0.0,0.08,0.0,0.08
Shogakukan,0.0,0.0,0.44,0.0,0.44
Simon & Schuster Interactive,0.08,0.02,0.0,0.0,0.11
Slightly Mad Studios,0.25,0.92,0.02,0.18,1.38
Slitherine Software,0.08,0.1,0.0,0.03,0.21
Societa,0.0,0.0,0.04,0.0,0.04
Sold Out,0.01,0.01,0.0,0.0,0.02
Sonnet,0.0,0.0,0.06,0.0,0.06
Sony Computer Entertainment,265.22,187.72,74.1,80.45,607.5
Sony Computer Entertainment America,1.04,0.0,0.0,0.13,1.18
Sony Computer Entertainment Europe,8.96,9.0,2.5,3.42,23.89
Sony Music Entertainment,0.0,0.0,0.14,0.0,0.14
Sony Online Entertainment,1.96,1.15,0.0,0.4,3.53
SouthPeak Games,4.77,0.91,0.07,0.56,6.35
Spike,3.32,0.33,2.12,0.37,6.15
Square,0.53,0.29,2.6,0.23,3.64
Square EA,0.45,0.3,0.0,0.05,0.8
Square Enix,48.65,32.82,49.88,13.89,145.18
SquareSoft,11.06,4.95,40.13,1.54,57.65
Stainless Games,0.01,0.01,0.0,0.0,0.01
Starfish,0.39,0.19,0.1,0.03,0.72
Starpath Corp.,0.3,0.02,0.0,0.0,0.33
Sting,0.4,0.07,0.15,0.03,0.65
Storm City Games,1.35,0.1,0.0,0.08,1.56
Strategy First,0.0,0.02,0.0,0.0,0.03
Success,1.12,0.49,0.22,0.09,1.96
Summitsoft,0.03,0.01,0.0,0.0,0.04
Sunflowers,0.0,0.02,0.0,0.01,0.03
Sunrise Interactive,0.0,0.0,0.17,0.0,0.17
Sunsoft,0.5,0.25,0.17,0.04,0.95
Sweets,0.0,0.0,0.05,0.0,0.05
Swing! Entertainment,0.28,0.16,0.0,0.04,0.48
Syscom,0.06,0.04,0.15,0.02,0.27
System 3,0.08,0.1,0.0,0.03,0.22
System 3 Arcade Software,0.96,0.63,0.0,0.2,1.8
System Soft,0.0,0.0,0.05,0.0,0.05
T&E Soft,0.0,0.0,0.12,0.0,0.12
TDK Core,0.24,0.12,0.25,0.01,0.62
TDK Mediactive,5.41,2.42,0.0,0.45,8.31
TGL,0.0,0.0,0.1,0.0,0.1
THQ,208.77,94.73,5.01,32.14,340.77
TOHO,0.0,0.0,0.11,0.0,0.11
TYO,0.23,0.16,0.0,0.03,0.42
Taito,0.41,0.09,2.14,0.19,2.84
Takara,0.16,0.06,3.14,0.08,3.45
Takara Tomy,0.76,0.03,1.85,0.08,2.7
Take-Two Interactive,220.49,118.14,5.83,55.24,399.54
Takuyo,0.0,0.0,0.01,0.0,0.01
